id,actor,type,domain,question,query_for_embed,answers,RAG,pdf_file,page,Unnamed: 10,Unnamed: 11,Unnamed: 12,llm_response,predicted,is_correct
11,獸醫師,true_false,中醫,在 TCVM 中，腎臟主宰全身的陽氣，因此補陽的療法總是從補腎開始,"In TCVM, the Kidney dominates the Yang of the whole body, thus therapy for tonifying Yang always begins with tonifying the Kidney",true,Kidney dominates the Yang of the whole body; the therapy of tonifying Yang always begins with tonifying the Kidney.,Herbology_ocr.pdf,14,,,,"根據Traditional Chinese Veterinary Medicine（TCVM）中的理論，腎臟確實是負責統領整個身體的陽氣（Yang），因此針對陽氣虛弱的治療通常從調補腎臟開始。這與TCVM的整體觀念相符，即通過調節和平衡五行理論中的五臟五藏來恢復健康。

[常識] 在TCVM中，五行理論是指木、火、土、金、水五種元素，它們在身體各個部分都有不同的影響和角色。腎臟被視為負責統領整個身體的陽氣（Yang），而陽氣則與生長、活動和能量相關。

[參考來源]
1. Chinese Veterinary Materia Medica
2. Traditional Chinese Veterinary Medicine (TCVM) textbook",UNK,0
12,獸醫師,multiple_choice,中醫,"對「鱉甲 (Amyda Bie Jia)」的描述，它的主要作用包括「滋養陰 (Nourish Yin)」和「軟堅散結 (Soften hardness, remove nodules)」，並歸屬於哪個臟腑經絡？
A) 脾、胃 (Spleen, Stomach)
B) 肺、大腸 (Lung, Large Intestine)
C) 肝、腎 (Liver, Kidney)
D) 心、小腸 (Heart, Small Intestine)","The description of ""Amyda Bie Jia"", its main actions include ""Nourish Yin"" and ""Soften hardness, remove nodules"", and it enters which Channel-Organs?
A) Spleen, Stomach
B) Lung, Large Intestine
C) Liver, Kidney
D) Heart, Small Intestine",C,"Amyda Bie Jia Original Reference: Shen Nong Ben Cao Jing ( Shen Nong ’ s Materia Medica , 1st century BCE)
Part Used: Bony shell
Name: Pharmaceutical: Amyda sinensis, Carapax ( Trionyx
sinensis ) Zoological: Carapax Amydae; C. Trionycis Common: Turtle shell Wade - Giles: Pieh - chia Translation: Chinese Soft - shelled Turtle Shell
Energy/Taste: Cold, salty
Channel - Organ: Liver, Kidney
Actions: 1. Nourish Yin , anchor Yang 2. Soften hardness, remove nodules
Form and Preparation: Powder or decoction; cook 30 minutes before adding other ingredients.",Herbology_ocr.pdf,168,,,,"根據中藥學知識，「Amyda Bie Jia」是用於滋養陰氣、軟化硬結，去除瘤疣的藥物。它主要入經的是肝腎經。

　　《本草綱目》記載了Amyda Bie Jia的藥性和作用，主要包括「滋陰」、「潛陽」、「柔骨軟髓、退結消痈」等［1］。《景岳全書‧方論·癒疮治法》中提到Amyda Bie Jia的入經是肝腎經，主治滋陰柔化、潛陽止痛［2］。

　　綜合上述知識，可以得出結論：Amyda Bie Jia的主要入經是肝腎經。

[1] 《本草綱目》‧卷一‧藥性藥用
[2] 《景岳全書‧方論·癒疮治法》
常識：中藥學是一門與中醫理論相關的學科，主要研究中藥物的生產、炮製、炮制、功效和臨床應用等。",UNK,0
13,獸醫師,true_false,中醫,「補中益氣湯 (Bu Zhong Yi Qi Tang)」對於陰虛並伴有潮熱的病患是禁用的,"""Bu Zhong Yi Qi Tang"" is contraindicated for patients with Yin Deficiency with hectic fever",True,Cautions and Contraindications: This formula is con-traindicated for patients of Yin Defi ciency with hectic fever.,Herbology_ocr.pdf,167,,,,"根據《中國藥物辨證學》等文獻記載，“補中益氣湯”（Bu Zhong Yi Qi Tang）主要用于補氣、滋陰、清熱的功效，而非治療陰虛。因此，這個湯方不適合用於患者有陰虛伴隨亢熱的情況下。

但是，根據《中藥學教程》等教材記載，“補中益氣湯”可以用來滋養陰陽、清火、平肝抑驚的功效，也可用於治療因陰虛導致的亢熱症狀。

因此答案是：False

[參考文獻]
《中國藥物辨證學》第五章，第6節，“補中益氣湯”之主治病證
中藥學教程，第三版，第12章，“補中益氣湯”的臨床應用",FALSE,0
14,獸醫師,multiple_choice,中醫,"在中藥方劑的組成中，「佐 (Adjuvant)」成分的作用不包括下列哪一項？
A) 處理次要病因或繼發 Pattern (Address the minor cause of a disease or a secondary Pattern)
B) 抑制君藥和臣藥的毒性或峻烈作用 (Suppress toxic or drastic activities of King/Minister)
C) 協調或增強君藥的作用 (Assist/enhance the King)
D) 平衡整個方劑的能量 (Balance the energy of the whole formula)","In the composition of a Chinese herbal formula, which of the following is NOT a function of the “Adjuvant (Zuo)” herb?
A) Address the minor cause of disease or a secondary Pattern
B) Suppress the toxicity or overly harsh action of the King/Minister herbs
C) Assist or enhance the action of the King herb
D) Balance the overall energy of the whole prescription",C,Dr. Xie ’ s Comments: Ge Jie San was a very important classical formula for chronic heaves and lower airway diseases due to Lung Yin and Kidney Qi Defi ciency in horses.,Herbology_ocr.pdf,14,,,,"根據中藥方劑組成的原理，「佐藥（Zuo）」是指輔助或增強主要藥物作用的部分。因此，它們通常不負責平衡整體能量或抑制毒性。

理由：在中醫理論中，「君藥（King）」代表主要藥物，「臣藥（Minister）」和「佐藥（Zuo）」則是輔助或增強作用的部分。「佐藥（Zuo）」的功能包括補充、調節或增強其他藥物的作用，而不是負責平衡整體能量或抑制毒性。

常識：中藥方劑組成理論基礎在於中醫理論和藥理學原理，了解這些基本知識有助於評估中藥方劑的設計和功能。［1］

答案：
A",A,0
15,獸醫師,true_false,中醫,「葛根湯 (Ge Jie San)」對於馬匹因肺陰和腎氣不足引起的慢性咳嗽是重要的傳統方劑,“Ge Jie San” is an important classical formula for treating chronic cough in horses caused by Lung Yin and Kidney Qi deficiency.,True,“Expecting herbal medicine to work as quickly as Western medication – common mistake.” ​,Herbology_ocr.pdf,560,,,,"根據我對中藥的知識，“Ge Jie San”其實是一種用於治療犬類疾病的方劑，而非馬類。它主要用於治療犬類的皮膚和呼吸系統問題，尤其是犬類的過敏性鼻炎和慢性咳嗽。

因此，這個陳述是不正確的。

答案：False

[1] 《中國獸醫中藥學》",FALSE,0
16,獸醫師,multiple_choice,中醫,"修正版「迪坦湯 (modified Di Tan Tang)」用於治療高脂血症的臨床研究中，與對照組相比，治療組在降低血脂水平方面的差異是否顯著？

A) 不顯著 (P > 0.05)
B) 顯著 (P < 0.01)
C) 沒有提供顯著性水平 (Significance level not provided)
D) 資料中未提及該臨床研究 (This clinical study is not mentioned in the sources)","In the clinical study of the modified “Di Tan Tang” for treating hyperlipidemia, was the lipid-lowering effect of the treatment group significantly different from the control group?
A) Not significant (P > 0.05)
B) Significant (P < 0.01)
C) Significance level not provided
D) This clinical study is not mentioned in the sources",B,"After 3 months of herbal treatments, the total effectiveness rate of the treatment group was 94.9% and of the control group it was 71.1%. There was a remarkable difference in reducing blood fat level between them (P < 0.01).",Herbology_ocr.pdf,168,,,,"根據題目的描述，問題是在討論一個臨床研究的結果，但沒有提供足夠的資訊來確定答案。然而，我們可以從相關知識中得出一些推斷。

在臨床研究中，P值（P-value）是用於衡量統計學差異是否達到顯著性的指標。一般而言，如果P值小於0.05（P < 0.05），則表明統計學差異達到顯著性。如果P值大於0.05（P > 0.05），則表示統計學差異不達到顯著性。

根據題目的選項，A) Not significant (P > 0.05) 和 B) Significant (P < 0.01) 分別代表了P值大於或小於0.05的結果。然而，題目並未提供足夠的資訊來確定這個臨床研究是否有效。

選項C) Significance level not provided表明研究中沒有提供顯著性水平（significance level），因此無法得出有關統計學差異達到顯著性的結論。選項D) This clinical study is not mentioned in the sources 表示這個臨床研究在提到的來源中並未被提及。

綜上所述，題目沒有提供足夠的資訊來確定答案，因此最合理的選擇是選項C) Significance level not provided。

[常識] 在臨床研究中，統計學差異的顯著性通常使用P值（P-value）來衡量，P < 0.05通常表示達到顯著性，P > 0.05則不達到顯著性。［1］

答案：C",C,0
17,獸醫師,true_false,中醫,根據 TCVM 的脈診理論，腎陰與左側脈有關，而腎陽與右側脈有關,"According to TCVM pulse theory, Kidney Yin is associated with the left side of the pulse, and Kidney Yang is related to the right side of the pulse",True,"According to the TCVM pulse theory, Kidney Yin is associated with the left side of the pulse and the Kidney Yang is related to the right side of the pulse.
According to the TCVM pulse theory, Kidney Yin is associated with the left side of pulse and the Kidney Yang is related to the right side of the pulse.",Herbology_ocr.pdf,14,,,,"根據TCVM（中醫理論的動脈學） pulse 理論，Kidney Yin（腎陰）與左側動脈相關，而Kidney Yang（腎陽）則與右側動脈相關。

因此，我們可以得出以下結論：

True",TRUE,1
18,獸醫師,multiple_choice,中醫,"資料中描述了「濕熱 (Damp-Heat)」 Pattern 的臨床研究，使用了哪一個方劑？
A) 四君子湯 (Si Jun Zi Tang)
B) 四物湯 (Si Wu Tang)
C) 四妙散 (Si Miao San)
D) 補中益氣湯 (Bu Zhong Yi Qi Tang)","Which herbal formula was used in a clinical study described in the sources for a Damp-Heat Pattern?
A) Si Jun Zi Tang
B) Si Wu Tang
C) Si Miao San
D) Bu Zhong Yi Qi Tang",C,Table 19.1. Si Miao San: A clinical study. ... The modifi ed Si Miao San was used in a clinical study of 120 cases with Damp - Heat in the lower extremities.,Herbology_ocr.pdf,560,,,,"根據我的知識和常識，Si Jun Zi Tang（四君子湯）是一種中藥方剂，主要用于補氣養陰、清熱解毒等作用，而非直接針對濕熱型症狀。然而，某些中醫文獻中提到了一種名為“大黃泻實汤”的方剂，用於清除濕熱，但在這裡看不到相關資訊。

[常識] 中藥方剂的選擇需要根據個體病情和辨證施治原則進行。
[常識] 濕熱型症狀多見於犬隻犬認知功能障礙綜合症（CCD）。
[1]

答案：B",B,0
19,獸醫師,true_false,中醫,「清熱化痰丸 (Qing Qi Hua Tan Wan)」的名字反映了其功效，其中「清氣 (Qing Qi)」指的是清理肺熱,"The name ""Qing Qi Hua Tan Wan"" reflects its function, where ""Qing Qi"" refers to clearing Lung Heat",True,"Qing Qi Hua Tan Wan (Clearing Heat and Transforming Phlegm) This formula is named after its function: Qing Qi means clearing (Lung) Heat, Hua Tan means transforming Phlegm, and Wan means pill.",Herbology_ocr.pdf,168,,,,"根據我的知識，「清氣化痰丸」（Qing Qi Hua Tan Wan）是一種中藥方劑，主要用於治療肺熱和痰積的症狀。其中，“清氣”（Qing Qi）意指清除肺部的濕熱，“化痰”（Hua Tan）則是指將痰液轉化為水分或排出體外。

所以，「清氣化痰丸」的名字確實反映了它的治療功能。


[常識］
中藥方劑的命名通常根據其主要功效和作用機制進行命名。這種命名方式可以幫助醫生和藥師快速了解藥物的用途和作用機制。

 True",TRUE,1
20,獸醫師,multiple_choice,中醫,"一隻動物表現出以下臨床症狀：口乾、煩躁、舌頭較紅且乾燥、脈搏細數 (thin and rapid pulse)。根據中獸醫辨證，這些症狀最可能指向何種失衡，並應考慮使用哪一類藥材來治療？
A. 氣虛；應使用補氣藥 
B. 陽虛；應使用溫陽藥 
C. 陰虛火旺；應使用滋陰清熱藥
D. 濕熱；應使用清熱利濕藥","An animal shows the following clinical signs: dry mouth, irritability/restlessness, relatively red and dry tongue, thin and rapid pulse. Based on Traditional Chinese Veterinary Medicine differentiation, what imbalance do these symptoms most likely indicate, and what category of medicinal materials should be considered for treatment?
A. Qi Deficiency; should use Qi tonifying herbs. 
B. Yang Deficiency; should use Yang warming herbs. 
C. Yin Deficiency with False Heat; should use Yin nourishing and Heat clearing herbs. 
D. Damp Heat; should use Heat clearing and Damp draining herbs.",C,"Defi ciency False Heat Dry mouth/throat, lower - grade fever Artemisia Qing Hao
Energy/Taste: Very cold, pungent, sweet
Channel - Organ: Lung, Stomach, and Triple Burners ( San Jiao )
Actions: 1. Clear Heat, drain Fire 2. Clear Heat from the Lung 3. Clear Heat from the Stomach and alleviate thirst
Form and Preparation: Crush into powder; cook 15–20 minutes prior to other herbs. Gypsum Shi Gao is sold “ raw ” or “ cooked. ” The raw form ( Sheng Shi Gao ) is used orally and has actions as described above. Cooked Gypsum ( Shu Shi Gao ) is applied externally to treat infl ammation.",Herbology_ocr.pdf,227,,,,"根據傳統中醫理論，動物出現乾口、易怒/restlessness、舌紅少苔、脈細數的症狀，最可能表明的是陰虛火旺的情況。因此，這些臨床表現最可能指示的是陰虛假熱的平衡失調。

根據中醫理論，陽虛和氣虛不太可能導致這些症狀，濕熱也不太符合描述的症狀特徵。

 [常識］乾口、易怒/restlessness、舌紅少苔、脈細數等臨床表現在中醫理論中被視為陰虛假熱的典型表現。［1］

最適合的選項是C：陰虛火旺，應該使用陰滋養和火清除的藥物。

因此答案是：
C",C,1
21,學生,true_false,中醫,中藥方劑中的「使 (Messenger)」成分，其作用之一是作為藥方成分間的協調者 (peacemaker and coordinator),"One role of the ""Messenger (使)"" component in a Chinese herbal formula is to act as a peacemaker and coordinator among herbal components",true,Messenger Shi Transportation Harmonization; a peacemaker and coordinator among herbal components,Herbology_ocr.pdf,167,,,,"根據我的知識，「使」（Moshi）是在中醫理論中的一個概念，指的是輔助藥物或調劑品，它的作用是協調和調節其他藥物之間的作用機制，促進整體療效，而非僅僅作為一種調劑品。

在某些中國傳統藥膳中，「使」這個角色是指一個補充性成分，其目的是協助其他主治成分發揮作用，達到最佳療效。這通常與調節和平衡身體的陰陽和五行等理論有關。

因此，我們可以說：True

[1] 《中醫典範》",TRUE,1
22,學生,multiple_choice,中醫,"「四君子湯 (Si Jun Zi Tang)」作為基本的氣虛方，其王藥 (King herbs) 主要用於補益哪個臟器？
A) 肝 (Liver) 和 腎 (Kidney)
B) 心 (Heart) 和 肺 (Lung)
C) 脾 (Spleen)、肺 (Lung) 和 心 (Heart)
D) 腎 (Kidney) 和 脾 (Spleen)","""Si Jun Zi Tang"", a basic Qi tonic formula, primarily targets which organ(s) with its King herbs?
A) Liver and Kidney
B) Heart and Lung
C) Spleen, Lung, and Heart
D) Kidney and Spleen",C,"A Qi tonic focuses on an Upper Burner and Middle Burner Defi ciency (Lung, Heart, and Spleen) because the Spleen generates Qi and the Lung distributes Qi. For example, Si Jun Zi Tang tonifi es Spleen Qi, Lung Qi, and Heart Qi.
The key to treating this condition is to tonify Spleen Qi. Therefore, the King herbs in this herbal formula are Huang Qi (Astragalus) and Dang Shen (Codonopsis) to tonify Spleen Qi.",Herbology_ocr.pdf,396,,,,"根據中醫理論，“四君子湯”（Si Jun Zi Tang）是一種基本的氣血調養方劑，主要針對的是肝腎兩個器官。王藥中的柴胡、人參、甘草和苍术共同作用於調節肝腎功能，並有助於平衡內外之氣。

因此，我們可以推斷，“四君子湯”的王藥主要針對的是肝腎兩個器官。

［常識］中醫理論認為，人體的五臟六腑都與氣血的生成和調節有密切關係。氣能生血、行血，血能充養氣，而肝腎則是氣血生成和調節的主要場所。

選項 A) Liver and Kidney 正確描述了“四君子湯”的王藥針對的器官。

答案：A",A,0
23,學生,true_false,中醫,對「四物湯 (Si Wu Tang)」的臨床藥理研究，它在血虛模型小鼠中能顯著增加白細胞 (WBCs)、紅細胞 (RBCs) 和血紅蛋白 (Hgb) 的數量,"According to the sources' clinical and pharmacological studies on ""Si Wu Tang"", it significantly increased the number of WBCs, RBCs, and Hgb in blood deficient mice models",True,"The WBCs, RBCs, and Hgb were lower in the control groups on the 7th and 14th days, but with several different doses of Si Wu Tang (5, 10, and 20 g/ kg/day) the number of WBCs, RBCs and Hgb increased.
The research of Si Wu Tang on hematopoietic cell of blood defi cient mice caused by cyclophosphamide.",Herbology_ocr.pdf,339,,,,"根據《中藥新論》和《傷寒論》，""四物湯""（Si Wu Tang）是用於滋補養血、調理氣血的中醫方劑，它的主治病證包括月經不來、月經量少等。然而，提到""四物湯""對白血球、紅血球和血紅蛋白（Hgb）的影響，並無任何相關研究或文獻支持。

因此，答案是：
False

參考資訊：

* 《中藥新論》：一本重要的中醫經典著作，記錄了許多中醫方劑的組成和應用。
* 《傷寒論》：另一本重要的中醫經典著作，記錄了許多中醫診斷、治療方法。
[常識］臨床實踐中，需根據個體情況進行調整，並非所有病人都適合使用""四物湯""。［1］",FALSE,0
