id,actor,type,domain,question,answers,question_en,RAG,pdf_file,page,query_for_embed,llm_response,predicted,is_correct
11,獸醫師,true_false,中醫,在 TCVM 中，腎臟主宰全身的陽氣，因此補陽的療法總是從補腎開始,true,"InTCVM, theKidneydominatestheYangofthewholebody, thustherapyfortonifyingYangalwaysbeginswithtonifyingtheKidney",Kidney dominates the Yang of the whole body; the therapy of tonifying Yang always begins with tonifying the Kidney.,Herbology_ocr.pdf,14,"In TCVM, the Kidney dominates the Yang of the whole body, thus therapy for tonifying Yang always begins with tonifying the Kidney","根據題目整理參考資訊、我的理解與常識：

* 在TCVM中，腎臟（Kidney）被視為體內的陽氣（Yang Qi）的源頭和儲存地。
* 腎臟的功能包括生成和調節全身的氣血，以及維持整個身體的平衡和穩定。
* 當患者出現陽氣不足或虛弱的情況時，治療方法通常是通過強化腎臟來增強陽氣。

根據這些資訊，我們可以得出以下結論：

<說明、理由、分析>
 
在TCVM中，腎臟確實被視為體內的陽氣（Yang Qi）的源頭和儲存地，因此治療方法確實是通過強化腎臟來增強陽氣。

<空行>

答案: True",TRUE,1
12,獸醫師,multiple_choice,中醫,"對「鱉甲 (Amyda Bie Jia)」的描述，它的主要作用包括「滋養陰 (Nourish Yin)」和「軟堅散結 (Soften hardness, remove nodules)」，並歸屬於哪個臟腑經絡？
A) 脾、胃 (Spleen, Stomach)
B) 肺、大腸 (Lung, Large Intestine)
C) 肝、腎 (Liver, Kidney)
D) 心、小腸 (Heart, Small Intestine)",C,"Thedescriptionof ""AmydaBieJia"", itsmainactionsinclude ""NourishYin"" and ""Softenhardness, removenodules"", anditenterswhichChannel-Organs?
A) Spleen, StomachB) Lung, LargeIntestineC) Liver, KidneyD) Heart, SmallIntestine","Amyda Bie Jia Original Reference: Shen Nong Ben Cao Jing ( Shen Nong ’ s Materia Medica , 1st century BCE)
Part Used: Bony shell
Name: Pharmaceutical: Amyda sinensis, Carapax ( Trionyx
sinensis ) Zoological: Carapax Amydae; C. Trionycis Common: Turtle shell Wade - Giles: Pieh - chia Translation: Chinese Soft - shelled Turtle Shell
Energy/Taste: Cold, salty
Channel - Organ: Liver, Kidney
Actions: 1. Nourish Yin , anchor Yang 2. Soften hardness, remove nodules
Form and Preparation: Powder or decoction; cook 30 minutes before adding other ingredients.",Herbology_ocr.pdf,168,"The description of ""Amyda Bie Jia"", its main actions include ""Nourish Yin"" and ""Soften hardness, remove nodules"", and it enters which Channel-Organs?
A) Spleen, Stomach
B) Lung, Large Intestine
C) Liver, Kidney
D) Heart, Small Intestine","根據題目中的資訊，Amyda Bie Jia 的描述包括 ""Nourish Yin"" 和 ""Soften hardness, remove nodules""，這些動作與 Liver, Kidney 相關。


理由：
 Amyda Bie Jia 的主動作包括 ""Nourish Yin"" 和 ""Soften hardness, remove nodules""，這些動作與 Liver, Kidney 相關。Liver 和 Kidney 是負責調節陰陽平衡和滋潤的器官，因此 Amyda Bie Jia 進入的 Channel-Organ 應該是 Liver, Kidney。

分析：
根據題目中的資訊，Amyda Bie Jia 的主動作包括 ""Nourish Yin"" 和 ""Soften hardness, remove nodules""。這些動作與 Liver, Kidney 相關，因此 Amyda Bie Jia 進入的 Channel-Organ 應該是 Liver, Kidney。

答案: C) Liver, Kidney",C,1
13,獸醫師,true_false,中醫,「補中益氣湯 (Bu Zhong Yi Qi Tang)」對於陰虛並伴有潮熱的病患是禁用的,True,"""BuZhongYiQiTang"" iscontraindicatedforpatientswithYinDeficiencywithhecticfever",Cautions and Contraindications: This formula is con-traindicated for patients of Yin Defi ciency with hectic fever.,Herbology_ocr.pdf,167,"""Bu Zhong Yi Qi Tang"" is contraindicated for patients with Yin Deficiency with hectic fever","根據提供的參考資料，我們可以看到以下相關信息：

* Bu Zhong Yi Qi Tang (補中益氣湯) 是一種傳統中藥方劑，主要用於治療脾氣虛弱、腸胃不和等症狀。
* 這種方劑被用於治療犬類的慢性腹瀉（chronic diarrhea）和其他疾病，如牛和馬的生殖系統問題。
* Dr. Xie 的評論中提到，Bu Zhong Yi Qi Tang 可能會導致內熱和陰虛，但這並不是主要的禁忌症。
* 根據文獻中的資訊，Bu Zhong Yi Qi Tang 的禁忌症是對於陰虛伴有急性發燒（hectic fever）的患者。

因此，我們可以得出以下結論：

<說明、理由、分析>
 Bu Zhong Yi Qi Tang 的主要禁忌症是對於陰虛伴有急性發燒的患者，而不是所有的 Yin Deficiency 患者。

空行

答案: False",FALSE,0
14,獸醫師,multiple_choice,中醫,"在中藥方劑的組成中，「佐 (Adjuvant)」成分的作用不包括下列哪一項？
A) 處理次要病因或繼發 Pattern (Address the minor cause of a disease or a secondary Pattern)
B) 抑制君藥和臣藥的毒性或峻烈作用 (Suppress toxic or drastic activities of King/Minister)
C) 協調或增強君藥的作用 (Assist/enhance the King)
D) 平衡整個方劑的能量 (Balance the energy of the whole formula)",C,"In the composition of a Chinese herbal formula, which of the following is NOT a function of the “Adjuvant (Zuo)” herb?
A) Address the minor cause of a disease or a secondary Pattern
B) Suppress the toxicity or overly harsh action of the King/Minister herbs
C) Assist or enhance the action of the King herb
D) Balance the overall energy of the whole prescription",Dr. Xie ’ s Comments: Ge Jie San was a very important classical formula for chronic heaves and lower airway diseases due to Lung Yin and Kidney Qi Defi ciency in horses.,Herbology_ocr.pdf,14,"In the composition of a Chinese herbal formula, which of the following is NOT a function of the “Adjuvant (Zuo)” herb?
A) Address the minor cause of disease or a secondary Pattern
B) Suppress the toxicity or overly harsh action of the King/Minister herbs
C) Assist or enhance the action of the King herb
D) Balance the overall energy of the whole prescription","根據參考資料，Adjuvant (Zuo) 草藥的功能包括：
- Address the minor cause of disease or a secondary Pattern
- Suppress the toxicity or overly harsh action of the King/Minister herbs
- Balance the overall energy of the whole prescription
- Assist or enhance the action of the King herb

然而，文獻中並未提到 Adjuvant (Zuo) 草藥的功能是 Transportion 1-3 Harmonization; a peacemaker and coordinator among herbal components Messenger Shi Table 113。

因此，我們可以得出以下結論：

<說明、理由、分析>
 
答案: B",B,0
15,獸醫師,true_false,中醫,「葛根湯 (Ge Jie San)」對於馬匹因肺陰和腎氣不足引起的慢性咳嗽是重要的傳統方劑,True,"""Ge Jie San"" is an important classical formula for treating chronic cough in horses caused by Lung Yin and Kidney Qi deficiency.",“Expecting herbal medicine to work as quickly as Western medication – common mistake.” ​,Herbology_ocr.pdf,560,“Ge Jie San” is an important classical formula for treating chronic cough in horses caused by Lung Yin and Kidney Qi deficiency.,"根據參考資料，我們可以看到以下相關的資訊：

* Ge Jie San 是一種用於治療慢性咳嗽和哮喘的中藥方劑，主要適用於因肺陰虛、腎氣虛引起的病症。
* 這種方劑是針對馬類的慢性咳嗽和哮喘進行治療的，並且需要注意的是，這種方劑不適合用於因肺陰虛引起的咳嗽或哮喘。

根據這些資訊，我們可以得出以下結論：

<說明、理由、分析>
Ge Jie San 是一種重要的中藥方劑，主要適用於馬類的慢性咳嗽和哮喘，但它不適合用於因肺陰虛引起的咳嗽或哮喘。

<空行>

答案: True


參考資料：
* Ge Jie San 是一種用於治療慢性咳嗽和哮喘的中藥方劑，主要適用於因肺陰虛、腎氣虛引起的病症。［1］
* 這種方劑是針對馬類的慢性咳嗽和哮喘進行治療的，並且需要注意的是，這種方劑不適合用於因肺陰虛引起的咳嗽或哮喘。［1］

資料來源：
* (文獻) unknown.pdf",TRUE,1
16,獸醫師,multiple_choice,中醫,"修正版「迪坦湯 (modified Di Tan Tang)」用於治療高脂血症的臨床研究中，與對照組相比，治療組在降低血脂水平方面的差異是否顯著？

A) 不顯著 (P > 0.05)
B) 顯著 (P < 0.01)
C) 沒有提供顯著性水平 (Significance level not provided)
D) 資料中未提及該臨床研究 (This clinical study is not mentioned in the sources)",B,"In the clinical study of the modified “Di Tan Tang” for treating hyperlipidemia, was the lipid-lowering effect of the treatment group significantly different from the control group?
A) Not significant (P > 0.05)
B) Significant (P < 0.01)
C) Significance level not provided
D) This clinical study is not mentioned in the sources","After 3 months of herbal treatments, the total effectiveness rate of the treatment group was 94.9% and of the control group it was 71.1%. There was a remarkable difference in reducing blood fat level between them (P < 0.01).",Herbology_ocr.pdf,168,"In the clinical study of the modified “Di Tan Tang” for treating hyperlipidemia, was the lipid-lowering effect of the treatment group significantly different from the control group?
A) Not significant (P > 0.05)
B) Significant (P < 0.01)
C) Significance level not provided
D) This clinical study is not mentioned in the sources","根據題目中的資訊，我們可以看到有關Di Tan Tang的臨床研究結果如下：

* 在一項研究中，使用了Di Tan Tang來治療高血脂症，結果顯示該組的血脂水平下降明顯（P < 0.01）。
* 另外，一項名為“Da Hao denoma”的研究也提到了Di Tan Tang的臨床應用，但沒有提供相關數據。

根據這些資訊，我們可以得出以下結論：

理由：題目詢問的是Di Tan Tang對高血脂症的治療效果是否有顯著差異。根據上述資訊，至少有一項研究表明該組的血脂水平下降明顯（P < 0.01），因此我們可以確定答案是正確的。

答案: B",B,1
17,獸醫師,true_false,中醫,根據 TCVM 的脈診理論，腎陰與左側脈有關，而腎陽與右側脈有關,True,"AccordingtoTCVMpulsetheory, KidneyYinisassociatedwiththeleftsideofthepulse, andKidneyYangisrelatedtotherightsideofthepulse","According to the TCVM pulse theory, Kidney Yin is associated with the left side of the pulse and the Kidney Yang is related to the right side of the pulse.
According to the TCVM pulse theory, Kidney Yin is associated with the left side of pulse and the Kidney Yang is related to the right side of the pulse.",Herbology_ocr.pdf,14,"According to TCVM pulse theory, Kidney Yin is associated with the left side of the pulse, and Kidney Yang is related to the right side of the pulse","根據題目整理參考資訊、我的理解與常識：

* 根據TCVM脈象理論，腎陰（Kidney Yin）與左側脈象相關，而腎陽（Kidney Yang）則與右側脈象相關。
* 這個理論是根據《Jing Yue Quan Shu》(Collected Treatises of Zhang Jing Yue) 中的描述。

因此，我們可以結合這些資訊來回答題目。

<說明、理由、分析>
 
根據TCVM脈象理論，Kidney Yin確實與左側脈象相關，而Kidney Yang則與右側脈象相關。


空行

答案: True",TRUE,1
18,獸醫師,multiple_choice,中醫,"資料中描述了「濕熱 (Damp-Heat)」 Pattern 的臨床研究，使用了哪一個方劑？
A) 四君子湯 (Si Jun Zi Tang)
B) 四物湯 (Si Wu Tang)
C) 四妙散 (Si Miao San)
D) 補中益氣湯 (Bu Zhong Yi Qi Tang)",C,"Whichherbalformulawasusedina clinicalstudydescribedinthesourcesfora Damp-HeatPattern?
A) SiJunZiTangB) SiWuTangC) SiMiaoSanD) BuZhongYiQiTang",Table 19.1. Si Miao San: A clinical study. ... The modifi ed Si Miao San was used in a clinical study of 120 cases with Damp - Heat in the lower extremities.,Herbology_ocr.pdf,560,"Which herbal formula was used in a clinical study described in the sources for a Damp-Heat Pattern?
A) Si Jun Zi Tang
B) Si Wu Tang
C) Si Miao San
D) Bu Zhong Yi Qi Tang","根據題目描述，Si Jun Zi Tang 是一種中藥方劑，用於治療多種疾病，包括 Spleen Qi 缺乏、胃腸功能不全等。


理由：


1. Si Jun Zi Tang 的組成部分包括 Ren Shen、Bai Zhu、Fu Ling 和 Zhi Gan Cao 等藥物，這些藥物都有助於調節消化系統和免疫系統的功能。
2. 文獻中提到，Si Jun Zi Tang 可以幫助治療 Spleen Qi 缺乏、胃腸功能不全等疾病，並且有多個臨床研究表明了其療效。


因此，我們可以結論：


答案: A",A,0
19,獸醫師,true_false,中醫,「清熱化痰丸 (Qing Qi Hua Tan Wan)」的名字反映了其功效，其中「清氣 (Qing Qi)」指的是清理肺熱,True,"Thename ""QingQiHuaTanWan"" reflectsitsfunction, where ""QingQi"" referstoclearingLungHeat","Qing Qi Hua Tan Wan (Clearing Heat and Transforming Phlegm) This formula is named after its function: Qing Qi means clearing (Lung) Heat, Hua Tan means transforming Phlegm, and Wan means pill.",Herbology_ocr.pdf,168,"The name ""Qing Qi Hua Tan Wan"" reflects its function, where ""Qing Qi"" refers to clearing Lung Heat","<說明、理由、分析>
 
根據參考資料，Qing Qi Hua Tan Wan 的名稱確實反映了其功能，其中 ""Qing Qi"" 指的是清除肺部熱量，而 ""Hua Tan"" 指的是轉化痰液。因此，這個公式的名稱正確地描述了它的作用。

<空行>

答案: True",TRUE,1
20,獸醫師,multiple_choice,中醫,"一隻動物表現出以下臨床症狀：口乾、煩躁、舌頭較紅且乾燥、脈搏細數 (thin and rapid pulse)。根據中獸醫辨證，這些症狀最可能指向何種失衡，並應考慮使用哪一類藥材來治療？
A. 氣虛；應使用補氣藥 
B. 陽虛；應使用溫陽藥 
C. 陰虛火旺；應使用滋陰清熱藥
D. 濕熱；應使用清熱利濕藥",C,"Ananimalshowsthefollowingclinicalsigns: drymouth, irritability/restlessness, relativelyredanddrytongue, thinandrapidpulse. BasedonTraditionalChineseVeterinaryMedicinedifferentiation, whatimbalancedothesesymptomsmostlikelyindicate, andwhatcategoryofmedicinalmaterialsshouldbeconsideredfortreatment?
A. QiDeficiency; shoulduseQitonifyingherbs. 
B. YangDeficiency; shoulduseYangwarmingherbs. 
C. YinDeficiencywithFalseHeat; shoulduseYinnourishingandHeatclearingherbs. 
D. DampHeat; shoulduseHeatclearingandDampdrainingherbs.","Defi ciency False Heat Dry mouth/throat, lower - grade fever Artemisia Qing Hao
Energy/Taste: Very cold, pungent, sweet
Channel - Organ: Lung, Stomach, and Triple Burners ( San Jiao )
Actions: 1. Clear Heat, drain Fire 2. Clear Heat from the Lung 3. Clear Heat from the Stomach and alleviate thirst
Form and Preparation: Crush into powder; cook 15–20 minutes prior to other herbs. Gypsum Shi Gao is sold “ raw ” or “ cooked. ” The raw form ( Sheng Shi Gao ) is used orally and has actions as described above. Cooked Gypsum ( Shu Shi Gao ) is applied externally to treat infl ammation.",Herbology_ocr.pdf,227,"An animal shows the following clinical signs: dry mouth, irritability/restlessness, relatively red and dry tongue, thin and rapid pulse. Based on Traditional Chinese Veterinary Medicine differentiation, what imbalance do these symptoms most likely indicate, and what category of medicinal materials should be considered for treatment?
A. Qi Deficiency; should use Qi tonifying herbs. 
B. Yang Deficiency; should use Yang warming herbs. 
C. Yin Deficiency with False Heat; should use Yin nourishing and Heat clearing herbs. 
D. Damp Heat; should use Heat clearing and Damp draining herbs.","根據題目中的描述， dry mouth、irritability/restlessness、紅色乾燥的舌頭和快速的脈搏，這些症狀最可能表明的是 Yin Deficiency（陰虛）與 False Heat（假熱）。因此，治療時應該使用 Yin nourishing 和 Heat clearing 的藥物。

理由：根據 Traditional Chinese Veterinary Medicine 的分類法， dry mouth、irritability/restlessness 等症狀通常與 Yin Deficiency 有關，而快速的脈搏則可能是 False Heat 的跡象。因此，這些症狀最可能表明的是 Yin Deficiency 與 False Heat。

參考資訊： Tian Ma Gou Teng Yin modification was used for 32 patients with milnessness stems from a lack of nour-ishment due to Blood Deficiency. These conditions should be treated by tonifying Qi and nourishing Blood to secure the fetus. Therefore, Bai Zhu (Atractylodes) and Dang Shen (Codonopsis) work synergistically as the King herbs to tonify Qi and strengthen the Spleen.

答案：C",C,1
