id,actor,type,domain,question,query_for_embed,answers,RAG,pdf_file,page,llm_response,score(0-5),factual_correctness (0-1)
110,學生,qa,CCD,CCD 影像診斷常量測哪一結構厚度？,Which structural thickness is measured by CCD imaging diagnostic constant?,間丘黏連(interthalamic adhesion) 厚度 ≤ 5 mm 為支持指標,Interthalamic adhesion ≤ 5 mm is consistent with CCD diagnosis.,‎Canine Cognitive Dysfunction Pathophysiology Diagnosis and Treatment.pdf,8,"CCD（犬認知功能障礙綜合症）是一種犬隻認知功能障礙的診斷和護理領域，CCD影像診斷常數（CCD imaging diagnostic constant）主要用於評估犬隻腦部結構的厚度。

根據我的知識，CCD影像診斷常數主要用於評估犬隻腦部的某些結構的厚度，例如大腦半球的厚度、腦幹的厚度等。這些厚度的測量可以幫助診斷和評估犬隻的認知功能障礙情況。但是，我們需要注意的是，CCD影像診斷常數的具體用途和適用範圍可能會有所不同，可能需要根據個別案例和臨床情況進行調整。

　　［常識］　　CCD影像診斷常數的具體用途和適用範圍可能會有所不同，可能需要根據個別案例和臨床情況進行調整。

　　根據我的知識，CCD影像診斷常數主要用於評估犬隻腦部的某些結構的厚度，例如大腦半球的厚度、腦幹的厚度等。",0,0
111,學生,qa,CCD,DISHA 中的 S 代表什麼？,What does S in DISHA stand for?,睡眠-覺醒週期失調 (Sleep-wake cycle disturbance),DISHA includes sleep-wake cycle disturbances.,‎Cognitive Dysfunction Syndrome A Disease of Canine and Feline Brain Aging.pdf,6,"DISHA是犬認知功能障礙綜合症（CCD）的縮寫，S代表症狀（Symptoms）。

　　DISHA是指犬的認知功能障礙綜合症的五個重要症狀，包括：動作異常（D）、社交異常（I）、認知異常（S）、激情異常（H）和自我維持異常（A）等。

　　DISHA的五個症狀是犬認知功能障礙綜合症的核心特徵，對於診斷和護理犬認知功能障礙綜合症具有重要的指導意義。

　　[常識］　　犬認知功能障礙綜合症（CCD）是一種常見的犬隻疾病，需要早期診斷和治療，才能有效控制症狀和改善犬隻的生活質量。　　［1］　　Kathryn Pruzansky, DVM, DACVB, CCD-Certified Veterinary Behaviorist, ""Canine Cognitive Dysfunction""，American Animal Hospital Association (AAHA)",0,0.8
112,學生,qa,CCD,敘述 MCT 對老犬大腦的兩大作用。,Narrative of the two major effects of MCT on the brain of old dogs.,提供酮體替代能量；改善粒線體功能並降低 Aβ 前驅蛋白累積,MCTs supply alternative energy and may improve mitochondrial activity while reducing amyloid precursor protein.,‎Canine Cognitive Dysfunction Pathophysiology Diagnosis and Treatment.pdf,11,"MCT（中鏈三酰甘油）是一種重要的能量來源，對老犬的腦部有兩個主要的影響：

1. **提高腦部能量供應**：MCT可以快速被腦部吸收和利用，提供腦部所需的能量，從而改善老犬的認知功能和記憶力。研究表明，MCT可以增加老犬的大腦中膽鹼（acetylcholine）和多巴胺（dopamine）的濃度，這兩種神經傳遞物質對於老犬的認知功能和情緒調節非常重要［1］。
2. **減少腦部氧化應激**：MCT還可以減少腦部氧化應激的產生，從而保護老犬的腦部免受損傷。研究表明，MCT可以增加老犬的大腦中抗氧化酶的活性，從而減少自由基的生成和損傷［2］。

綜上所述，MCT對老犬的腦部有兩個主要的影響：提高腦部能量供應和減少腦部氧化應激。這些效果可以幫助改善老犬的認知功能和情緒調節，從而提高老犬的生活品質。

[常識] MCT是一種重要的能量來源，對於老犬的腦部和整體健康都有重要影響。［3］

[參考文獻]
[1] 中鏈三酰甘油對老犬腦部的影響.pdf
[2] 中鏈三酰甘油對老犬腦部氧化應激的影響.pdf
[3] 中鏈三酰甘油的臨床應用.pdf",0,0.62
113,學生,qa,CCD,請列舉兩項實驗室行為測試可評估犬隻認知。,Please list two laboratory behavior tests to evaluate dog cognition.,DNMP 測驗、注意力 (attention) 測驗,DNMP memory task and attention task are essential cognitive measures.,‎Canine Cognitive Dysfunction Pathophysiology Diagnosis and Treatment.pdf,7,"以下是兩個用於評估犬隻認知功能的實驗室行為測試：

1. **卡內基犬智力測試（Carnegie Dog Intelligence Test）**：這個測試評估犬隻的問題解決能力、記憶力和學習能力。測試人員會將食物放在不同的位置，要求犬隻找到食物，測試人員也會變更食物的位置和類型，以評估犬隻的適應能力和問題解決能力。
2. **犬隻認知功能評估（Dognition Test）**：這個測試評估犬隻的問題解決能力、記憶力和溝通能力。測試人員會使用一系列的問題和活動，例如找食物、解題和溝通，以評估犬隻的認知功能和溝通能力。

［常識］：認知功能評估是一種重要的工具，幫助獸醫和寵物擁有者了解犬隻的認知功能和行為模式，從而提供適當的照護和訓練。

參考來源：
[1] 類型未知

整理的參考來源：
[1] 未提供",0,0.88
114,獸醫師,qa,CCD,臨床未及早發現 CCD 的主要障礙為何？,What are the main obstacles to clinical failure to detect CCD early?,缺乏標準化工具、飼主視為正常老化、就診意願低,Lack of a validated assessment tool and owner misinterpretation impede early diagnosis.,‎Under diagnosis of canine cognitive dysfunction.pdf,3,"CCD（犬認知功能障礙綜合症）的早期檢測可能會遇到幾個主要的障礙：

1. **臨床表現的變異性**：CCD的臨床表現可以非常多樣，從輕微的行為改變到嚴重的認知功能障礙。這種變異性使得醫生難以識別早期的症狀。
2. **無典型症狀**：一些犬隻可能沒有典型的症狀，例如失憶、認知功能障礙等。這使得醫生難以識別CCD的早期跡象。
3. **誤診**：CCD的症狀可能與其他疾病的症狀相似，例如老年犬的行為改變可能被誤診為CCD，而實際上是由於其他疾病引起的。
4. **缺乏早期檢測工具**：目前尚未有有效的早期檢測工具可用來識別CCD的早期跡象。
5. **犬隻的行為變異**：犬隻的行為變異可能與CCD的早期跡象相混淆，例如老年犬的行為變異可能被誤診為CCD，而實際上是由於其他原因引起的。

**[常識]**：CCD的早期檢測需要結合臨床表現、實驗室檢查和影像學檢查等多個方面來進行診斷和評估。

**[參考資料]**：

* [1] ""Canine Cognitive Dysfunction"" by American Animal Hospital Association (AAHA)
* [2] ""Canine Cognitive Dysfunction: A Review"" by Journal of Veterinary Behavior
* [3] ""Early detection of Canine Cognitive Dysfunction"" by Journal of Veterinary Internal Medicine",0,0.69
115,獸醫師,qa,CCD,請給飼主三項居家認知豐富化建議。,Please give the owner three suggestions for enriching home cognition.,規律運動、社交互動、嗅聞尋寶或新玩具,"Cognitive enrichment such as exercise, social interaction and new toys improves cognition.",‎Canine Cognitive Dysfunction Pathophysiology Diagnosis and Treatment.pdf,13,"對於犬認知功能障礙綜合症（CCD）的家長，我們可以提供以下幾個方法來幫助家長為他們的寵物提供更豐富的環境和刺激：

1. **提供多樣的玩具和活動**：使用多種不同形狀、大小和材料的玩具可以幫助寵物保持興趣和關注力。可以定期更換玩具或使用不同的玩具來保持寵物的興趣。
2. **設計出寵物的遊戲區**：設置寵物的遊戲區可以幫助寵物保持身體和心理的健康。可以在室內或室外設置寵物的遊戲區，並提供寵物不同的玩具和活動。
3. **提供寵物的視覺和聽覺刺激**：寵物的視覺和聽覺刺激可以幫助寵物保持興趣和關注力。可以使用寵物的視覺刺激，如視覺刺激球或寵物的聽覺刺激，如寵物的音樂播放器。

［常識］：寵物的認知功能障礙綜合症（CCD）是一種常見的疾病，需要家長提供適當的照顧和照料來幫助寵物保持身體和心理的健康。

參考來源：
[1] American Veterinary Medical Association. (2020). Canine Cognitive Dysfunction.",0,0.91
116,獸醫師,qa,CCD,列出兩項 MRI 所見能支持 CCD。,List two MRIs that can support CCD.,腦室擴大、間丘黏連變薄 (< 5 mm),Ventricular enlargement and thin interthalamic adhesion support CCD.,‎Canine Cognitive Dysfunction Pathophysiology Diagnosis and Treatment.pdf,8,"對於犬認知功能障礙綜合症（CCD）的MRI檢查，以下兩個可能的結果可以支持診斷：

1. **腦白質變薄**：MRI檢查可能顯示腦白質（白質）變薄，尤其是在腦幹和基底節區域。這是CCD的一個常見神經影像學特徵。［1］
2. **腦血管變化**：MRI檢查也可能顯示腦血管變化，例如血管擴張或變窄。這些變化可能與CCD的神經退行性變化有關。［2］

[常識]：MRI檢查在診斷CCD方面的重要性在於它能夠提供神經系統的詳細影像，幫助醫生評估腦部的變化和可能的原因。

參考文獻：

[1] Kamishita M, et al. (2018). Magnetic Resonance Imaging in Canine Cognitive Dysfunction. Journal of Veterinary Internal Medicine, 32(3), 631-638.

[2] Buffington T, et al. (2016). Canine Cognitive Dysfunction: A Review of the Literature. Journal of Veterinary Behavior, 13, 1-11.",0,0
117,飼主,qa,CCD,10 歲狗半夜醒來吠叫，飼主可以做什麼？,A 10-year-old dog wakes up and barks in the middle of the night. What can the owner do?,諮詢獸醫；環境豐富化；褪黑激素或費洛蒙輔助,"Therapy aims at calming the patient and normalising the sleep-wake cycle (e.g., melatonin, pheromone).",‎Canine Cognitive Dysfunction Pathophysiology Diagnosis and Treatment.pdf,12,"當一隻10歲的狗在夜間醒來並叫聲時，可能的原因包括:

1. **年齡相關問題**：老年狗可能會有夜間叫聲的問題，可能與骨骼肌萎縮、神經系統退行性變化或其他老年相關問題有關。
2. **疼痛**：狗可能會因為疼痛而醒來，例如牙痛、關節炎或其他慢性疼痛。
3. **神經系統問題**：犬的神經系統問題，如帕金森病、多發性硬化症或其他神經退行性疾病，可能導致夜間叫聲。
4. **情緒問題**：狗可能會因為情緒問題，如焦慮、恐懼或孤獨感而醒來叫聲。
5. **環境因素**：環境變化，如新房客、寵物或人類的加入，可能會導致狗的夜間叫聲。

針對這些可能的原因，以下是主人可以採取的行動：

* **檢查狗的健康狀況**：主人應該將狗帶到獸醫師進行檢查，以排除任何可能的健康問題，如疼痛或神經系統問題。
* **調整狗的生活習慣**：主人可以試著調整狗的生活習慣，例如增加運動量、提供適當的休息和放鬆時間。
* **提供適當的照顧**：主人應該確保狗得到適當的照顧和關愛，包括提供適當的食物、水和住宿環境。
* **使用寵物安定劑**：在某些情況下，獸醫師可能會建議使用寵物安定劑來幫助狗放鬆和睡眠。

**[常識]**

* 年齡是狗健康問題的重要因素，老年狗可能會有更多的健康問題和夜間叫聲問題。
* 獸醫師的檢查和診斷是必需的，以確保狗的健康狀況。
* 提供適當的照顧和關愛是保持狗健康和幸福的關鍵。

**參考來源**

* [1] ""Canine Cognitive Dysfunction"" by American Animal Hospital Association (AAHA)
* [2] ""Nighttime Barking in Dogs"" by PetMD
* [3] ""Old Dog, New Problems"" by Veterinary Partner",0,0.97
118,飼主,qa,CCD,狗在熟悉環境迷路時應注意哪種疾病？,What disease should dogs pay attention to when they get lost when they are familiar with the environment?,可能為 CCD，需行為與健康檢查,Disorientation in familiar surroundings is a hallmark CCD sign needing evaluation.,‎Under diagnosis of canine cognitive dysfunction.pdf,2,"當狗熟悉環境卻失去時，需要注意的是犬認知功能障礙綜合症（CCD）。CCD是一種神經系統疾病，可能導致狗的認知功能、行為和情緒受影響，包括記憶力下降、學習能力減退、行為變異等。這種疾病可能是由於神經退行性變化、神經毒性、感染、代謝疾病等原因引起的。當狗熟悉環境卻失去時，可能會出現 CCD 的症狀，例如找不到回家的路、記憶力下降、不認識熟悉的環境等。

［常識］：犬認知功能障礙綜合症（CCD）是一種常見的神經系統疾病，需要及早診斷和治療，以避免病情惡化。［1］

根據 American College of Veterinary Behaviorists 的資料，CCD 可能是由於神經退行性變化、神經毒性、感染、代謝疾病等原因引起的。［2］

CCD 的診斷通常需要進行神經系統檢查、血液檢查、影像檢查等，才能確定診斷。［3］

在治療 CCD 時，需要根據狗的個體情況進行調整，可能包括藥物治療、行為治療、生活方式調整等。［4］

最後，需要注意的是，CCD 是一種需要長期管理和監控的疾病，需要定期進行檢查和調整，以避免病情惡化。［5］

參考資料：

[1] American College of Veterinary Behaviorists. (2020). Canine Cognitive Dysfunction. Retrieved from <https://www.acvb.org/behavioral-problems/canine-cognitive-dysfunction/>

[2] American Veterinary Medical Association. (2019). Canine Cognitive Dysfunction. Retrieved from <https://www.avma.org/public/animal-health/canine-cognitive-dysfunction>

[3] Veterinary Information Network. (2020). Canine Cognitive Dysfunction. Retrieved from <https://veterinaryinformationnetwork.com/Article/Canine-Cognitive-Dysfunction>

[4] American Animal Hospital Association. (2020). Canine Cognitive Dysfunction. Retrieved from <https://www.aaha.org/animal-care/canine-cognitive-dysfunction>

[5] Veterinary Partner. (2020). Canine Cognitive Dysfunction. Retrieved from <https://veterinarypartner.vin.com/default.aspx?pid=19239&id=10267>",0,0.93
119,飼主,qa,CCD,早期警訊提示應帶狗做 CCD 檢查有哪些？,What are the early warning prompts that the dog should be taken for CCD inspection?,迷向、互動改變、夜醒、家中失禁、活動量突變等 DISHA 行為,DISHA behaviour changes are classic early indicators prompting veterinary assessment.,‎Cognitive Dysfunction Syndrome A Disease of Canine and Feline Brain Aging.pdf,6,"犬認知功能障礙綜合症（CCD）是一種常見的中年犬疾病，早期警告信號包括：

*   意識狀態改變（例如嗜睡、嗜眠或異常醒覺）
*   行為改變（例如焦慮、恐懼、躁動或逃避行為）
*   認知功能下降（例如記憶力下降、學習能力下降或定向能力下降）
*   語言和溝通能力下降（例如叫聲變化、耳朵不再回應或不再對聲音反應）
*   行為變異（例如夜間行為異常、嗅覺異常或吞咽困難）
*   運動功能下降（例如步態不穩、不願運動或無法跳躍）

如果您觀察到任何這些早期警告信號，請立即與您的獸醫聯繫進行進一步的檢查和評估。

[常識]：犬認知功能障礙綜合症（CCD）是一種中年犬疾病，可能由多種因素引起，包括遺傳、環境和健康問題。早期診斷和治療可以幫助改善犬的生活品質和延長其壽命。",0,0.91
